Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C16, C17, C18, C20, C4, C7, C8",0402,13,100nf 0402, 
C11,0402,1,2.2uF 0402, 
"C19, C5, C6, CBP1",0402,4,10uf 0402, 
"C2, C3",0402,2,22pf 0402, 
C9,0402,1,1uf 0402, 
"D1, D2, D3",SK6812-MINI-E,3,SK6812,
"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_47, D_48, D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_68, D_69, D_7, D_70, D_71, D_72, D_73, D_74, D_75, D_8, D_9",D_SOD-123,76,D,
F1,0805,1,0805L050WR,
FLASH1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,
"GTP1, GTP2, GTP3, GTP4",SolderWire-0.1sqmm_1x01_D0.4mm_OD1mm,4,GNDPAD,
J1,PinHeader_1x10_P1.00mm_Vertical,1,Conn_01x10,
J2,SW_Push_SPST_NO_Alps_SKRK,1,Button, 
J3,MOLEX_781710004,1,78171-0004,
J5,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Male, 
"K_0, K_1, K_10, K_11, K_12, K_13, K_14, K_15, K_16, K_17, K_18, K_19, K_2, K_20, K_21, K_22, K_23, K_24, K_25, K_26, K_27, K_28, K_29, K_3, K_30, K_31, K_32, K_33, K_34, K_35, K_36, K_37, K_38, K_39, K_4, K_40, K_41, K_42, K_43, K_44, K_45, K_46, K_47, K_48, K_49, K_5, K_50, K_51, K_52, K_53, K_54, K_55, K_56, K_57, K_58, K_59, K_6, K_60, K_61, K_62, K_63, K_64, K_65, K_66, K_67, K_68, K_69, K_7, K_70, K_71, K_72, K_73, K_74, K_75, K_8, K_9",MXOnly-1U-NoLED,76,KEYSW,
"R10, R11",0402,2,27r 0402 resistor, 
"R4, R8",0402,2,1K 0402, 
R7,0402,1,10K 0402,  
R9,0402,1,100K 0402, 
RSW1,SW_Push_SPST_NO_Alps_SKRK,1,TSA343G00-250J2,
"TP1, TP2, TP3, TP4, TP5, TP6, TP7",TestPoint_Pad_D1.0mm,7,TestPoint,
U1,SOT-23-5,1,SOT-23-5 5.5V 3.3V 500mA, 
U2,RP2040-QFN-56,1,RP2040, C2040
U3,SOT-363_SC-70-6,1,TXS0101DCK,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,3225_4P 12MHz, 
"stb1, stb2, stb3, stb4",Stabilizer_Cherry_MX_2u,4,stab,
